,A-DALI Equity,A-Dana Income,A-Dana Equity,A-Dana Balanced,A-DALI Equity,Aberdeen Std Islmc World Eq A,Advantage Glbl Eq Volatility Focus MYR H,Advantage Asia Pacific ex Japan Div,Advantage Glbl Eq Volatility Focus AUD H,Advantage Glb High Income Bond USD,Advantage Glb High Income Bond RM-Hdg,AHAM Absolute Return II-AUD,AHAM Absolute Return II-GBP,AHAM Absolute Return II-MYR,AHAM Absolute Return II-SGD,AHAM Absolute Return II-USD,AHAM Absolute Return III,AHAM Aiiman Enhncd i-Profit A Inc,AHAM Aiiman Enhncd i-Profit B Acc,AHAM Aiiman Asia(Ex Jpn)Gr MYR,AHAM Aiiman Bal,AHAM Aiiman Glb Mlt Thmtc MYR Hdg,AHAM Aiiman Glb Mlt Thmtc AUD Hdg,AHAM Aiiman Glb Mlt Thmtc SGD Hdg,AHAM Aiiman ESG Income Plus,AHAM Aiiman Glb Mlt Thmtc USD,AHAM Aiiman Glbl Sukuk MYR,AHAM Aiiman Glbl Sukuk MYR Hdg,AHAM Aiiman Glbl Sukuk USD,AHAM Aiiman Glb Thm Mxd Ast AUDH,AHAM Aiiman Glb Thm Mxd Ast MYRH,AHAM Aiiman Glb Thm Mxd Ast SGDH,AHAM Aiiman Gb Thm Mx Ast USD Ins,AHAM Aiiman Glb Thmtc Mxd Ast USD,AHAM Aiiman Growth,AHAM Aiiman Income MYR Inc,AHAM Aiiman Money Market,AHAM Aiiman Quantum,AHAM ASEAN Flexi,AHAM Aiiman Select Income,AHAM EduGrowth & Income Fd,AHAM Bond,AHAM ESG SGD Bond MYR,AHAM ESG SGD Bond SGD,AHAM Enhanced Deposit Fund,AHAM Equity,AHAM Flexi 6,AHAM Flexi Fund 7 SGD
2022 Return,-0.03166029414739746,0.019490127589385287,-0.05919047961803303,-0.049109152891232966,-0.03166029414739746,-0.21852664576802505,-0.13264058679706592,-0.13595771824311997,-0.14674865348928923,-0.1519934230140303,-0.15448442717917255,-0.1353168599764667,-0.09022812393598922,-0.1463891134465104,-0.19497732821764913,-0.19068177729807512,-0.1577042399172699,0.0036000000000000476,0.0037000000000000366,-0.22791358149913787,-0.15426071048923373,-0.26940639269406397,-0.2882259976293955,-0.273972602739726,-0.004462399662019556,-0.2644479872459148,-0.03072021057370966,-0.07918974782968169,-0.0815796050987253,0.01079999999999992,-0.007600000000000051,-0.042200000000000015,0.0038000000000000256,-0.008199999999999985,-0.1576081309169749,,0.022890293911922655,-0.1582120854633634,0.02141455972101136,-0.0487004977434663,-0.10563939634630659,0.004725410364584404,0.013238490416913828,-0.04471057884231533,0.022555452535482523,-0.14972460383088404,-0.18196843236096183,-0.22332210053355805
2023 Return,0.0025965253002890876,0.07300422662297557,0.025128218344887987,0.04441571695866653,0.0025965253002890876,0.2524743566672665,0.08341278065630409,0.11967284589402682,0.09656374313316918,0.06576517290423922,0.03103289024537159,-0.04586451736710806,-0.09358239319400774,0.006683966344263492,-0.05029138786963083,-0.03371035706365055,-0.009018648731274892,0.029773881860743145,0.029880478087649376,0.05758371920860483,0.01577915044351408,0.24373638344226567,0.2458970792767734,0.25568648944916417,0.06442361993505585,0.28040173724212814,0.07006244424620878,0.00025150453606404,0.02527763664077809,0.11637931034482762,0.10207786967924148,0.112038389317755,0.14057826520438677,0.13178607467204828,0.05680566114194052,0.024680000000000035,0.0364766894925157,0.09156249999999999,0.026567481402762994,0.06345679763825074,0.09897913892587651,0.06215862617908341,0.10288555273932531,0.04053884711779454,0.03630922983062668,0.04796254908573361,0.10544320354160375,0.12762884736889601
2024 Return,0.08034566339972593,0.014032602560839269,0.0841995318752673,0.06791773711871252,0.08034566339972593,0.11172013541834591,0.054144778987828435,0.0551462591145957,0.059432672353361804,0.01210946476565411,0.0034688293922220392,0.1502233049127082,0.10731907894736836,0.126626940567665,0.12040210189627598,0.0981977818853974,0.11453335396997355,0.00789015664281556,0.007928067291888219,0.06972278232720197,0.039987895555939845,0.10911510312707917,0.10917721518987333,0.10961325966850821,0.014110414198241772,0.11456768933705197,0.04009034443817039,0.007126061280537055,0.014180133668092898,0.11520737327188924,0.05774907749077496,0.08643140215134926,0.06727721028531186,0.06484641638225264,0.0775462669137621,0.008549010422766123,0.00856899136638578,0.1391378777431702,0.024767561983471076,0.03930080951357562,0.058942268873637405,0.012091565185937903,0.020367461480082616,0.014792958792477107,0.00907368798619057,0.12364069796553712,0.055312556952797465,0.06802666452493766
YTD Sharpe,4.955322012932145,3.421190932163645,5.044954992038336,5.35749024227289,4.955322012932145,5.153978484082325,3.179467450146542,1.6235783890896396,3.5895080487901607,0.5664693776213774,-0.36067239737993034,9.334987106280959,5.138347692581843,7.7099176885610685,6.925457107146853,4.610462004850312,6.894928751479483,2.600307761434557,3.100812249113017,2.49670819472926,2.945377822955223,3.372526905881412,3.3741286187787316,3.39560524228926,6.055590895588006,3.572144210060045,3.3228552160150358,0.05676870797200455,2.1326930206825083,5.894039734366188,2.6588586338952345,4.676895394825287,3.2232533498825884,3.0970620032515974,4.751651818995818,0.6601440282260531,3.6982933905460764,7.946407003479761,0.8677731676284459,4.177812467797282,6.989471234514727,4.407045006914639,2.1884092862363884,3.618530095485594,5.894238138061897,7.276298260480667,4.952418639291672,5.005319605173028
1Y Sharpe,1.4179400387890526,2.778487428485459,1.5243590012704766,1.889974723723931,1.4179400387890526,2.5131293868029445,1.1405897851728715,0.7975520946384386,1.351341693675727,1.1202300410691346,0.16271647590673838,0.41411346815681954,-0.10301387878717547,0.9927880262996023,0.3257417738361963,0.11122343747100756,0.6704155926939429,2.0793273843136135,2.269961178208052,0.8708407597712916,0.4297650542311658,1.6593175465364973,1.6846571182132228,1.7420076900493475,3.2247482454777843,1.9333334524946084,1.3918250751962757,-2.0643987541645563,0.17740378256616304,1.5245937370207037,1.240515372115075,2.022819787327202,1.8444714405346252,1.7179706032260162,1.6349386929177616,0.5769926099478287,4.638164374386476,2.490568232341726,0.31294204762766864,1.6830521273545267,2.9389743396488512,3.064173790270482,2.1511410905239434,2.2432271830374417,5.797760397923553,1.6723271173957848,1.9432094320759943,2.2702968145968505
3Y Sharpe,-0.5238238324197133,1.0404236998350616,-0.34444182104189525,-0.17244332974655258,-0.5238238324197133,0.4211761046174653,-0.03075706330450945,-0.22901181365941242,-0.05704589135070711,-1.2828507794991912,-1.5448068386597764,-0.40493874830627796,-0.5553287507869819,-0.5130398224774013,-0.9325786831817823,-0.7978174696841414,-0.7419151842560638,,,-0.5574482351544716,-1.472465869608555,,,,0.2343148967307029,,0.14128592464671316,-2.9200017449942974,-2.376297106925472,,,,,,-0.5055312548917849,,-0.1515967570266206,-0.08533121524964783,0.04865668075590427,-0.471769989909235,-0.17399798153139376,0.5779610645873864,0.5516399035655559,-1.8650237574275872,-0.47551198083970075,-0.0643195650179092,-0.5195150140971857,-0.5554945564937656
5Y Sharpe,-0.326922580560065,0.8087072406434328,0.27266797099382656,0.4318650155282983,-0.326922580560065,0.5617802034149686,0.21280267908126047,0.1183825858255612,0.15541260001202237,-0.45179147820924276,-0.5323270655122034,-0.028712718408391614,-0.10940306104651358,0.042408828191066464,-0.20804959003201415,-0.17928834130097845,-0.12710848741194752,,,0.07771999969349028,-0.19901030891711052,,,,0.17146070893911572,,0.3470282534926565,-0.5057062392510451,-0.7870167814211846,,,,,,0.28857469846177514,,-0.14187347806971262,0.4069787577238736,0.24881715790717965,-0.05761191744055002,,0.4739983614130972,,,-0.3140018136416428,0.32597612068507636,0.08346356964370848,0.1922781808634007
10Y Sharpe,,,,,,0.41256737460743687,,0.29288089801181916,,,,,,0.29625991137463353,,,,,,,-0.15696764034954788,,,,0.6706239304112958,,,,,,,,,,0.08367718846300219,,1.4383865144995625,0.15714325792920555,,0.03582549122196406,,0.9303087201832798,,,2.4687905122462124,0.13206697466316641,,
2017 Sharpe,0.03506053818431135,-2.6367678850289926,-0.3035409803710158,-0.4726429011649491,0.03506053818431135,0.675674186549141,2.229579076975751,1.7657719630340887,2.152788825943392,-1.730288957872271,-1.3980307857984695,,,1.665899764700789,,,2.4368123108551663,,,2.753778954426667,3.5148573257819162,,,,2.194730225408416,,-3.3924714393712603,-1.0130339907070882,0.7259125603816972,,,,,,2.460195740558526,,3.249215811677023,4.026063640849509,1.839195426807539,2.613663852133876,,3.181116827229349,,,4.385261229513332,3.2879496954690817,-0.8807764979099046,
2018 Sharpe,-1.535285452197326,5.458121727523602,-1.8605181301591318,-1.8032509020864418,-1.535285452197326,-1.1938976428531123,-0.9735279150773309,-0.9497894378755498,-1.0285043747536928,-2.471467482375016,-1.6135512698398877,-1.438612233211644,-0.9614128696885598,-1.5618638583846998,-1.7765197692319716,-1.8155720364482901,-1.3889485076895003,,,-1.1599113675722075,-1.9072260202541347,,,,3.708397427020601,,-0.13136943822452343,-0.15382162141414898,-2.8355527444001836,,,,,,-1.4460487964308695,,2.8510507291062566,-1.8708452760297558,-1.1989875562059369,-1.4692375343238797,,4.652628333039952,,,4.995313240675037,-1.3715064028758894,-1.7450668376156566,-0.3654584208512004
