,NAV Date,NAV Price
76,11/12/2023,0.9837
77,08/12/2023,0.9816
78,07/12/2023,0.9837
79,06/12/2023,0.9842
80,05/12/2023,0.9833
81,04/12/2023,0.9839
82,01/12/2023,0.9871
83,30/11/2023,0.9871
84,29/11/2023,0.9892
85,28/11/2023,0.9915
86,27/11/2023,0.9961
87,24/11/2023,0.9971
88,23/11/2023,1.0005
89,22/11/2023,0.9996
90,21/11/2023,1.0019
91,20/11/2023,0.9981
92,17/11/2023,1.0002
93,16/11/2023,1.0035
94,15/11/2023,1.0042
95,14/11/2023,0.9937
96,10/11/2023,0.9786
97,09/11/2023,0.9864
98,08/11/2023,0.9821
99,07/11/2023,0.9836
0,06/11/2023,0.9858
1,03/11/2023,0.9841
2,02/11/2023,0.9718
3,01/11/2023,0.9678
4,31/10/2023,0.9684
5,30/10/2023,0.9706
6,27/10/2023,0.9785
7,26/10/2023,0.9755
8,25/10/2023,0.9762
9,24/10/2023,0.9755
10,23/10/2023,0.9716
11,20/10/2023,0.9772
12,19/10/2023,0.9805
13,18/10/2023,0.9871
14,17/10/2023,0.9883
15,16/10/2023,0.9881
16,13/10/2023,0.9889
17,12/10/2023,0.9897
18,11/10/2023,0.9863
19,10/10/2023,0.9843
20,09/10/2023,0.978
21,06/10/2023,0.9802
22,05/10/2023,0.9779
23,04/10/2023,0.9769
24,03/10/2023,0.9805
25,02/10/2023,0.9848
26,29/09/2023,0.9854
27,27/09/2023,0.9881
28,26/09/2023,0.9883
29,25/09/2023,0.9907
30,22/09/2023,0.9921
31,21/09/2023,0.9888
32,20/09/2023,0.9941
33,19/09/2023,0.9909
34,18/09/2023,0.9886
35,15/09/2023,0.991
36,14/09/2023,0.9879
37,13/09/2023,0.9803
38,12/09/2023,0.9787
39,11/09/2023,0.9826
40,08/09/2023,0.9829
41,07/09/2023,0.9831
42,06/09/2023,0.9837
43,05/09/2023,0.9802
44,04/09/2023,0.9858
45,01/09/2023,0.9811
46,30/08/2023,0.9758
47,29/08/2023,0.9727
48,28/08/2023,0.9709
49,25/08/2023,0.9665
50,24/08/2023,0.969
51,23/08/2023,0.9615
52,22/08/2023,0.963
53,21/08/2023,0.959
54,17/08/2023,0.9677
55,16/08/2023,0.969
56,15/08/2023,0.9728
57,14/08/2023,0.969
58,11/08/2023,0.9653
59,10/08/2023,0.9665
60,09/08/2023,0.9662
61,08/08/2023,0.9662
62,07/08/2023,0.9676
63,04/08/2023,0.9656
64,03/08/2023,0.9641
65,02/08/2023,0.9648
66,01/08/2023,0.9709
67,31/07/2023,0.9689
68,28/07/2023,0.9688
69,27/07/2023,0.9679
70,26/07/2023,0.971
71,25/07/2023,0.9713
72,24/07/2023,0.9586
73,21/07/2023,0.9586
74,20/07/2023,0.9579
75,18/07/2023,0.9575
76,17/07/2023,0.9621
77,14/07/2023,0.9617
78,13/07/2023,0.9592
79,12/07/2023,0.9627
80,11/07/2023,0.9593
81,10/07/2023,0.9545
82,07/07/2023,0.9565
83,06/07/2023,0.9599
84,05/07/2023,0.9623
85,04/07/2023,0.9635
86,03/07/2023,0.9622
87,30/06/2023,0.957
88,28/06/2023,0.9594
89,27/06/2023,0.9593
90,26/06/2023,0.9577
91,23/06/2023,0.9585
92,22/06/2023,0.9617
93,21/06/2023,0.9618
94,20/06/2023,0.9639
95,19/06/2023,0.9654
96,16/06/2023,0.9646
97,15/06/2023,0.9631
98,14/06/2023,0.963
99,13/06/2023,0.9582
0,12/06/2023,0.9589
1,09/06/2023,0.9573
2,08/06/2023,0.9534
3,07/06/2023,0.9506
4,06/06/2023,0.9539
5,02/06/2023,0.9498
6,01/06/2023,0.9492
7,31/05/2023,0.9479
8,30/05/2023,0.9544
9,29/05/2023,0.956
10,26/05/2023,0.9539
11,25/05/2023,0.9556
12,24/05/2023,0.9543
13,23/05/2023,0.9591
14,22/05/2023,0.957
15,19/05/2023,0.9614
16,18/05/2023,0.9632
17,17/05/2023,0.9611
18,16/05/2023,0.9669
19,15/05/2023,0.9691
20,12/05/2023,0.9678
21,11/05/2023,0.9729
22,10/05/2023,0.9756
23,09/05/2023,0.9724
24,08/05/2023,0.9747
25,05/05/2023,0.9739
26,03/05/2023,0.9763
27,02/05/2023,0.9763
28,28/04/2023,0.9815
29,27/04/2023,0.9775
30,26/04/2023,0.9805
31,25/04/2023,0.9819
32,20/04/2023,0.9885
33,19/04/2023,0.9863
34,18/04/2023,0.9903
35,17/04/2023,0.994
36,14/04/2023,0.9918
37,13/04/2023,0.9943
38,12/04/2023,0.9917
39,11/04/2023,0.991
40,10/04/2023,0.99
41,07/04/2023,0.9863
42,06/04/2023,0.9861
43,05/04/2023,0.9903
44,04/04/2023,0.9897
45,03/04/2023,0.987
46,31/03/2023,0.9774
47,30/03/2023,0.9781
48,29/03/2023,0.974
49,28/03/2023,0.9749
50,27/03/2023,0.9698
51,24/03/2023,0.9756
52,23/03/2023,0.9777
53,22/03/2023,0.9792
54,21/03/2023,0.9762
55,20/03/2023,0.9772
56,17/03/2023,0.9941
57,16/03/2023,0.9768
58,15/03/2023,0.9842
59,14/03/2023,0.9771
60,13/03/2023,0.9943
61,10/03/2023,0.9938
62,09/03/2023,1.004
63,08/03/2023,1.0075
64,07/03/2023,1.0074
65,06/03/2023,1.0097
66,03/03/2023,1.0047
67,02/03/2023,1.0047
68,01/03/2023,1.0067
69,28/02/2023,1.0062
70,27/02/2023,1.0024
71,24/02/2023,1.0029
72,23/02/2023,1.0084
73,22/02/2023,1.0158
74,21/02/2023,1.0216
75,20/02/2023,1.0212
76,17/02/2023,1.0168
77,16/02/2023,1.0168
78,15/02/2023,1.0144
79,14/02/2023,1.0153
80,13/02/2023,1.0175
81,10/02/2023,1.0137
82,09/02/2023,1.0151
83,08/02/2023,1.0156
84,07/02/2023,1.0164
85,03/02/2023,1.0216
86,02/02/2023,1.0222
