,NAV Date,NAV Price
47,09/05/2015,0.2186
48,08/05/2015,0.2186
49,07/05/2015,0.2188
50,06/05/2015,0.2198
51,05/05/2015,0.2206
52,04/05/2015,0.2207
53,03/05/2015,0.2207
54,02/05/2015,0.2207
55,01/05/2015,0.2207
56,30/04/2015,0.2207
57,29/04/2015,0.2208
58,28/04/2015,0.2214
59,27/04/2015,0.2226
60,26/04/2015,0.2231
61,25/04/2015,0.2231
62,24/04/2015,0.2231
63,23/04/2015,0.2227
64,22/04/2015,0.2232
65,21/04/2015,0.2239
66,20/04/2015,0.2231
67,19/04/2015,0.2227
68,18/04/2015,0.2227
69,17/04/2015,0.2227
70,16/04/2015,0.2229
71,15/04/2015,0.223
72,14/04/2015,0.2219
73,13/04/2015,0.2216
74,12/04/2015,0.2215
75,11/04/2015,0.2215
76,10/04/2015,0.2215
77,09/04/2015,0.2214
78,08/04/2015,0.2216
79,07/04/2015,0.2215
80,06/04/2015,0.2215
81,05/04/2015,0.2214
82,04/04/2015,0.2214
83,03/04/2015,0.2214
84,02/04/2015,0.2214
85,01/04/2015,0.2215
86,31/03/2015,0.2213
87,30/03/2015,0.2212
88,29/03/2015,0.221
89,28/03/2015,0.221
90,27/03/2015,0.221
91,26/03/2015,0.2211
92,25/03/2015,0.2206
93,24/03/2015,0.2204
94,23/03/2015,0.2202
95,22/03/2015,0.2206
96,21/03/2015,0.2206
97,20/03/2015,0.2206
98,19/03/2015,0.22
99,18/03/2015,0.2198
0,17/03/2015,0.2205
1,16/03/2015,0.2193
2,15/03/2015,0.2198
3,14/03/2015,0.2198
4,13/03/2015,0.2198
5,12/03/2015,0.2202
6,11/03/2015,0.2201
7,10/03/2015,0.2211
8,09/03/2015,0.2218
9,08/03/2015,0.223
10,07/03/2015,0.223
11,06/03/2015,0.223
12,05/03/2015,0.223
13,04/03/2015,0.2248
14,03/03/2015,0.2241
15,02/03/2015,0.2258
16,01/03/2015,0.2285
17,28/02/2015,0.2285
18,27/02/2015,0.2285
19,26/02/2015,0.2283
20,25/02/2015,0.2263
21,24/02/2015,0.2276
22,23/02/2015,0.228
23,22/02/2015,0.2267
24,21/02/2015,0.2267
25,20/02/2015,0.2267
26,19/02/2015,0.2267
27,18/02/2015,0.2267
28,17/02/2015,0.2253
29,16/02/2015,0.2264
30,15/02/2015,0.228
31,14/02/2015,0.228
32,13/02/2015,0.228
33,12/02/2015,0.2277
34,11/02/2015,0.2292
35,10/02/2015,0.2315
36,09/02/2015,0.2312
37,08/02/2015,0.2305
38,07/02/2015,0.2305
39,06/02/2015,0.2305
40,05/02/2015,0.2287
41,04/02/2015,0.2278
42,03/02/2015,0.2278
43,02/02/2015,0.2278
44,01/02/2015,0.2278
45,31/01/2015,0.2278
46,30/01/2015,0.2278
47,29/01/2015,0.2281
48,28/01/2015,0.2295
49,27/01/2015,0.2274
50,26/01/2015,0.2274
51,25/01/2015,0.2285
52,24/01/2015,0.2285
53,23/01/2015,0.2285
54,22/01/2015,0.2261
55,21/01/2015,0.2244
56,20/01/2015,0.2243
57,19/01/2015,0.2253
58,18/01/2015,0.225
59,17/01/2015,0.225
60,16/01/2015,0.225
61,15/01/2015,0.2258
62,14/01/2015,0.2264
63,13/01/2015,0.2249
64,12/01/2015,0.2227
65,11/01/2015,0.2216
66,10/01/2015,0.2216
67,09/01/2015,0.2216
68,08/01/2015,0.2206
69,07/01/2015,0.2186
70,06/01/2015,0.2161
71,05/01/2015,0.2191
72,04/01/2015,0.2221
73,03/01/2015,0.2221
74,02/01/2015,0.2221
75,01/01/2015,0.2222
76,31/12/2014,0.2222
77,30/12/2014,0.2223
78,29/12/2014,0.2242
79,28/12/2014,0.2214
80,27/12/2014,0.2214
81,26/12/2014,0.2214
82,25/12/2014,0.22
83,24/12/2014,0.22
84,23/12/2014,0.2192
85,22/12/2014,0.2216
86,21/12/2014,0.2173
87,20/12/2014,0.2173
88,19/12/2014,0.2173
89,18/12/2014,0.2154
90,17/12/2014,0.2121
91,16/12/2014,0.2093
92,15/12/2014,0.21
93,14/12/2014,0.2174
94,13/12/2014,0.2174
95,12/12/2014,0.2174
96,11/12/2014,0.2223
97,10/12/2014,0.2252
98,09/12/2014,0.2236
99,08/12/2014,0.2267
0,07/12/2014,0.226
1,06/12/2014,0.226
2,05/12/2014,0.226
3,04/12/2014,0.2243
4,03/12/2014,0.2262
5,02/12/2014,0.2294
6,01/12/2014,0.2286
7,30/11/2014,0.2376
8,29/11/2014,0.2376
9,28/11/2014,0.2376
10,27/11/2014,0.2407
11,26/11/2014,0.2449
12,25/11/2014,0.245
13,24/11/2014,0.2426
14,23/11/2014,0.2392
15,22/11/2014,0.2392
16,21/11/2014,0.2392
17,20/11/2014,0.2392
18,19/11/2014,0.2401
19,18/11/2014,0.2402
20,17/11/2014,0.239
21,16/11/2014,0.2395
22,15/11/2014,0.2395
23,14/11/2014,0.2395
24,13/11/2014,0.2407
25,12/11/2014,0.2414
26,11/11/2014,0.242
27,10/11/2014,0.244
28,09/11/2014,0.2446
29,08/11/2014,0.2446
30,07/11/2014,0.2446
31,06/11/2014,0.244
32,05/11/2014,0.2457
33,04/11/2014,0.2482
34,03/11/2014,0.2512
35,02/11/2014,0.2506
36,01/11/2014,0.2506
37,31/10/2014,0.2506
38,30/10/2014,0.2504
39,29/10/2014,0.2498
40,28/10/2014,0.2488
41,27/10/2014,0.2503
42,26/10/2014,0.2497
43,25/10/2014,0.2497
44,24/10/2014,0.2497
45,23/10/2014,0.2477
46,22/10/2014,0.2435
47,21/10/2014,0.2435
48,20/10/2014,0.2447
49,19/10/2014,0.2409
50,18/10/2014,0.2409
51,17/10/2014,0.2409
52,16/10/2014,0.2344
53,15/10/2014,0.2422
54,14/10/2014,0.2446
55,13/10/2014,0.2465
56,12/10/2014,0.2509
57,11/10/2014,0.2509
58,10/10/2014,0.2509
59,09/10/2014,0.2533
60,08/10/2014,0.2528
61,07/10/2014,0.2582
62,06/10/2014,0.2613
63,05/10/2014,0.2613
64,04/10/2014,0.2613
65,03/10/2014,0.2613
66,02/10/2014,0.2613
67,01/10/2014,0.2652
68,30/09/2014,0.2653
69,29/09/2014,0.2656
70,28/09/2014,0.2645
71,27/09/2014,0.2645
72,26/09/2014,0.2645
73,25/09/2014,0.2633
74,24/09/2014,0.2647
75,23/09/2014,0.2648
76,22/09/2014,0.2658
77,21/09/2014,0.2669
78,20/09/2014,0.2669
79,19/09/2014,0.2669
80,18/09/2014,0.2648
81,17/09/2014,0.2671
82,16/09/2014,0.2689
83,15/09/2014,0.2689
84,14/09/2014,0.2692
85,13/09/2014,0.2692
86,12/09/2014,0.2692
87,11/09/2014,0.2694
88,10/09/2014,0.2705
89,09/09/2014,0.2707
90,08/09/2014,0.2694
